1,Trae Young,youngtr01
2,Kevin Huerter,huertke01
3,Clint Capela,capelca01
4,Bogdan BogdanoviÄ‡,bogdabo01
5,De'Andre Hunter,huntede01
6,John Collins,collijo01
7,Cam Reddish,reddica01
8,Danilo Gallinari,gallida01
9,Solomon Hill,hillso01
10,Tony Snell,snellto01
11,Lou Williams,willilo02
12,Rajon Rondo,rondora01
13,Brandon Goodwin,goodwbr01
14,Onyeka Okongwu,okongon01
15,Kris Dunn,dunnkr01
16,Nathan Knight,knighna01
17,Skylar Mays,mayssk01
18,Bruno Fernando,fernabr01
19,&nbsp;,Age
